location,district,rooms,size,level,max_levels,price
"город Ташкент, Яшнободский район, 1-й проезд Мурабби",Яшнободский,2,54,4,4,33000
"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,70,2,4,66000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,5,116,3,5,80000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,72,8,9,37700
"город Ташкент, Шайхантахурский район, Урда",Шайхантахурский,1,70,6,7,60000
"город Ташкент, Мирзо-Улугбекский район, ТТЗ",Мирзо-Улугбекский,2,60,9,9,28500
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,52,4,5,38000
"город Ташкент, Яккасарайский район, Ул.Ш.Руставели",Яккасарайский,3,95,7,8,65000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,44,1,4,38000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,42,3,4,36500
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,43,2,4,36500
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,3,77,5,5,95000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,24,3,4,20000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,1,4,26000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,41,1,4,36000
"город Ташкент, Юнусабадский район, Кашкар",Юнусабадский,2,46,2,4,36000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,42,2,4,36500
"город Ташкент, Юнусабадский район, Юнусабад-11",Юнусабадский,2,51,3,4,45000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,62,5,5,33500
"город Ташкент, Яшнободский район, Авиасозлар/Лисунова-4",Яшнободский,1,50,5,12,25000
"город Ташкент, Юнусабадский район, 1-й проезд Кулолкургон",Юнусабадский,4,107,6,9,75500
"город Ташкент, Юнусабадский район, ц-5 Киёт (Ц-5) ",Юнусабадский,5,255,1,8,270000
"город Ташкент, Юнусабадский район, ц-5 Киёт (Ц-5) ",Юнусабадский,6,266,1,8,285000
"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,1,38,6,9,27500
"город Ташкент, Яккасарайский район, Кичик Бешагач",Яккасарайский,4,210,4,8,265000
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,4,110,7,9,75000
"город Ташкент, Олмазорский район, Каракамыш 2/4",Олмазорский,2,55.62,5,9,31000
"город Ташкент, Сергелийский район, Сергели-II",Сергелийский,2,66,8,9,31507
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,53,3,5,54000
"город Ташкент, Олмазорский район, обводная  Нурафшон",Олмазорский,4,119,2,5,110000
"город Ташкент, Мирзо-Улугбекский район, Академгородок",Мирзо-Улугбекский,2,56,1,4,35000
"город Ташкент, Мирзо-Улугбекский район, Кибрай",Мирзо-Улугбекский,3,68,4,4,24000
"город Ташкент, Мирабадский район, Мирабад",Мирабадский,3,125,7,12,129999
"город Ташкент, Яккасарайский район, Тезиковая дача",Яккасарайский,4,140,8,10,105000
"город Ташкент, Яккасарайский район, ул. Мукимий",Яккасарайский,4,141,7,7,95000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,74,4,4,47500
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63,5,5,34997
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,41,4,4,32000
"город Ташкент, Мирабадский район, Фуркат",Мирабадский,2,52,3,5,37000
"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,3,68,3,4,39000
